external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds	chapter_number	exam_likeness	distractor_difficulty	eligible_for_final_exam	final_exam_weight	content_origin	style_reference
LTL2-C4-Q011	Standards	C4-O3	C4-K004	C4-K004-011	hard	analysis	multiple_choice	mixed	application	Which choice best distinguishes a clear standard from an inflexible rule?	A clear standard explains expected performance; an inflexible rule ignores relevant circumstances	A clear standard is always oral; an inflexible rule is written	A clear standard applies only to beginners; an inflexible rule applies to everyone	A clear standard measures attitude; an inflexible rule measures behavior	A	Clear standards define expectations, while wise leaders avoid applying them so rigidly that they become impractical.	1	Clear standards define expectations, while wise leaders avoid applying them so rigidly that they become impractical.	Clear standards define expectations, while wise leaders avoid applying them so rigidly that they become impractical.	Standards may be written or oral.	Standards can apply to all team members.	Standards may address many kinds of performance, not this distinction.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review Standards on pages 8. Focus on the exact definition and how it differs from nearby concepts.	Clear does not mean rigid.	high	flexible_benchmark	optional_after_answer	c4_k004_11	A firm measuring line that can be positioned appropriately for two different situations.	Standards should be clear without becoming impractical.	A benchmark remaining clear while being applied appropriately in different settings.	Learn to Lead, Volume 2, Chapter 4, Standards	8	approved	draft	LTL2-C4-Q010	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q012	The NCO	C4-O4	C4-K005	C4-K005-012	easy	recall	multiple_choice	mixed	cap_direct	The transition from airman to NCO is mainly a shift from	following orders to creating all policy	being cared for and taught to caring for and teaching others	technical work to administrative work	teamwork to independent work	B	A new NCO moves from being cared for to caring for others, and from being taught to teaching.	1	A new NCO moves from being cared for to caring for others, and from being taught to teaching.	NCOs usually carry out policy rather than create all policy.	A new NCO moves from being cared for to caring for others, and from being taught to teaching.	NCOs still need technical competence and may do both kinds of work.	NCOs become more responsible for teamwork, not less.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 9. Focus on the exact definition and how it differs from nearby concepts.	From me being helped to me helping.	high	before_after_diagram	optional_after_answer	c4_k005_12	An airman receiving instruction, then the same cadet NCO teaching a junior cadet.	The new NCO changes from learner to caretaker and teacher.	A cadet first receiving help and then teaching and caring for others.	Learn to Lead, Volume 2, Chapter 4, The NCO	9	approved	draft	LTL2-C4-Q013	25	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q013	The NCO	C4-O4	C4-K005	C4-K005-013	medium	understanding	multiple_choice	mixed	cap_direct	According to the chapter, rank primarily	confers privilege	gives freedom from supervision	imposes responsibility	proves leadership ability	C	Rank does not confer privilege; it imposes responsibility.	1	Rank does not confer privilege; it imposes responsibility.	The chapter explicitly rejects rank as privilege.	NCOs still answer to superiors.	Rank does not confer privilege; it imposes responsibility.	Rank creates responsibility but does not automatically prove skill.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 9. Focus on the exact definition and how it differs from nearby concepts.	More stripes, more responsibility.	high	insignia_responsibility	optional_after_answer	c4_k005_13	Additional stripes on insignia leading to a larger responsibility checklist.	Rank adds responsibility, not personal privilege.	Increasing rank insignia connected to increasing responsibility.	Learn to Lead, Volume 2, Chapter 4, The NCO	9	approved	draft	LTL2-C4-Q012	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q014	The NCO	C4-O5	C4-K006	C4-K006-014	medium	recognition	multiple_choice	mixed	cap_direct	Which is one of the NCO’s major responsibilities?	Establish every policy for the organization	Guide, instruct, and mentor junior members	Avoid correcting people unless ordered by an officer	Focus only on personal technical proficiency	B	NCOs act as first-line supervisors who guide, instruct, and mentor junior members.	1	NCOs act as first-line supervisors who guide, instruct, and mentor junior members.	Establishing broad policy is more characteristic of officers and higher leadership.	NCOs act as first-line supervisors who guide, instruct, and mentor junior members.	NCOs are responsible for helpful correction and safety.	NCOs keep learning, but they also develop and lead others.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 10. Focus on the exact definition and how it differs from nearby concepts.	NCOs grow people.	high	mentoring_diagram	optional_after_answer	c4_k006_14	An NCO guiding a junior cadet through a skill.	NCOs share experience so others can accomplish the mission.	A cadet NCO instructing and mentoring a junior member.	Learn to Lead, Volume 2, Chapter 4, The NCO	10	approved	draft	LTL2-C4-Q015|LTL2-C4-Q016|LTL2-C4-Q017	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q015	The NCO	C4-O5	C4-K006	C4-K006-015	hard	scenario	multiple_choice	mixed	scenario	An NCO sees a cadet performing a task unsafely but hesitates because correction may feel embarrassing. Which responsibility should control the decision?	Reward people	Support the leader	Correct people and protect safety	Career counsel	C	NCOs must step in and correct work helpfully, especially when safety is involved.	1	NCOs must step in and correct work helpfully, especially when safety is involved.	Recognition is important but does not address an unsafe act.	Supporting the leader includes mission support, but the immediate named responsibility is correction and safety.	NCOs must step in and correct work helpfully, especially when safety is involved.	Career counseling concerns opportunities and advancement, not immediate hazards.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 10. Focus on the exact definition and how it differs from nearby concepts.	See danger, step in.	high	safety_intervention	optional_after_answer	c4_k006_15	An NCO stopping an unsafe action and then demonstrating the correct method.	Helpful correction protects both the person and the mission.	An NCO stopping unsafe work and teaching the safer method.	Learn to Lead, Volume 2, Chapter 4, The NCO	10	approved	draft	LTL2-C4-Q014|LTL2-C4-Q016|LTL2-C4-Q017	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q016	The NCO	C4-O5	C4-K006	C4-K006-016	medium	application	multiple_choice	mixed	application	Which action best fulfills the NCO responsibility to reward people?	Giving praise only at formal ceremonies	Catching people doing things right and pointing to them as role models	Giving the same praise regardless of performance	Avoiding praise so cadets remain humble	B	NCOs recognize hard work when they see it and use good performers as positive examples.	1	NCOs recognize hard work when they see it and use good performers as positive examples.	Recognition should not be limited to ceremonies.	NCOs recognize hard work when they see it and use good performers as positive examples.	Meaningful recognition should connect to actual performance.	Appropriate praise supports motivation and standards.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 10. Focus on the exact definition and how it differs from nearby concepts.	Catch them doing right.	high	spotlight_positive	optional_after_answer	c4_k006_16	An NCO noticing and praising a cadet performing a task correctly.	Recognition reinforces the behavior the team needs.	An NCO praising a cadet for correct and helpful performance.	Learn to Lead, Volume 2, Chapter 4, The NCO	10	approved	draft	LTL2-C4-Q014|LTL2-C4-Q015|LTL2-C4-Q017	35	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q017	The NCO	C4-O5	C4-K006	C4-K006-017	hard	scenario	multiple_choice	mixed	scenario	A cadet asks an NCO which activities would build skills for a future emergency-services role. Which NCO responsibility is most directly involved?	Career counsel	Correct people	Support the leader	Epitomize the Core Values	A	Career counseling uses the NCO’s experience to connect people with opportunities that support advancement and personal goals.	1	Career counseling uses the NCO’s experience to connect people with opportunities that support advancement and personal goals.	Career counseling uses the NCO’s experience to connect people with opportunities that support advancement and personal goals.	No performance error is being corrected.	Supporting the leader is not the main purpose of this conversation.	Core Values should guide all conduct, but the specific responsibility is career counsel.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 10. Focus on the exact definition and how it differs from nearby concepts.	Counsel connects goals to opportunities.	high	pathway_diagram	optional_after_answer	c4_k006_17	A cadet goal connected by arrows to training opportunities and advancement.	Career counseling helps people choose useful opportunities.	A leader helping a cadet map activities toward a future goal.	Learn to Lead, Volume 2, Chapter 4, The NCO	10	approved	draft	LTL2-C4-Q014|LTL2-C4-Q015|LTL2-C4-Q016	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q018	The NCO	C4-O5	C4-K006	C4-K006-018	medium	understanding	multiple_choice	mixed	cap_direct	Why must NCOs keep learning?	To eliminate the need for officers	Because professional leaders must remain competent and able to teach others	Because learning matters only until promotion	To avoid delegating technical tasks	B	NCOs continuously build competence so they can perform, instruct, and lead professionally.	1	NCOs continuously build competence so they can perform, instruct, and lead professionally.	NCOs and officers have complementary roles.	NCOs continuously build competence so they can perform, instruct, and lead professionally.	Professional learning continues throughout leadership.	Competence supports wise delegation; it does not eliminate it.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 10. Focus on the exact definition and how it differs from nearby concepts.	Learn it, live it, teach it.	high	cycle_diagram	optional_after_answer	c4_k006_18	A cycle labeled Learn, Perform, Teach, Improve.	Continuous learning keeps the NCO ready to lead and instruct.	A cycle showing learning leading to performance, teaching, and improvement.	Learn to Lead, Volume 2, Chapter 4, The NCO	10	approved	draft	LTL2-C4-Q014|LTL2-C4-Q015|LTL2-C4-Q016	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q019	The NCO	C4-O5	C4-K006	C4-K006-019	hard	analysis	multiple_choice	mixed	application	Which statement best summarizes the seven NCO responsibilities?	They focus on using rank to make others comply	They combine personal example, people development, mission support, recognition, correction, counseling, and continued learning	They are mainly ceremonial duties associated with military bearing	They transfer responsibility for junior cadets to officers	B	The NCO role blends example, development, support, reward, correction, counseling, and professional growth.	1	The NCO role blends example, development, support, reward, correction, counseling, and professional growth.	Rank is responsibility, not a tool for personal control.	The NCO role blends example, development, support, reward, correction, counseling, and professional growth.	Military bearing matters, but the responsibilities are much broader.	NCOs are first-line supervisors directly responsible for junior members.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review The NCO on pages 9-10. Focus on the exact definition and how it differs from nearby concepts.	Example, develop, support, reward, correct, counsel, learn.	high	seven_spoke_wheel	optional_after_answer	c4_k006_19	A seven-spoke wheel with the seven NCO responsibilities around Mission.	The NCO’s responsibilities connect people, standards, and mission.	A wheel showing seven responsibilities supporting mission accomplishment.	Learn to Lead, Volume 2, Chapter 4, The NCO	9-10	approved	draft	LTL2-C4-Q014|LTL2-C4-Q015|LTL2-C4-Q016	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q020	NCO Readiness	C4-O5	C4-K007	C4-K007-020	easy	recall	multiple_choice	mixed	cap_direct	The Air Force identifies which three areas of NCO readiness?	Technical, physical, and mental	Tactical, operational, and strategic	Academic, ethical, and social	Individual, team, and organizational	A	NCO readiness has three parts: technical, physical, and mental.	1	NCO readiness has three parts: technical, physical, and mental.	NCO readiness has three parts: technical, physical, and mental.	These are leadership arenas, not readiness categories.	These may affect a cadet but are not the chapter’s three readiness areas.	These describe levels of focus, not readiness.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review NCO Readiness on pages 11. Focus on the exact definition and how it differs from nearby concepts.	TPM: Technical, Physical, Mental.	high	three_part_icon_card	optional_after_answer	c4_k007_20	Three icons: tools, fitness, and focused mind.	Readiness means technical, physical, and mental preparation.	Tools, a fitness figure, and a focused mind representing three readiness areas.	Learn to Lead, Volume 2, Chapter 4, NCO Readiness	11	approved	draft	LTL2-C4-Q021|LTL2-C4-Q022|LTL2-C4-Q023	25	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q021	NCO Readiness	C4-O5	C4-K007	C4-K007-021	medium	understanding	multiple_choice	mixed	cap_direct	Technical readiness is chiefly concerned with	knowing the mission, tasks, standards, and regulations	maintaining enthusiasm during conflict	building physical endurance	understanding long-term organizational strategy	A	Technical readiness means possessing the job knowledge needed to accomplish and judge the mission.	1	Technical readiness means possessing the job knowledge needed to accomplish and judge the mission.	Technical readiness means possessing the job knowledge needed to accomplish and judge the mission.	That relates more to morale and mental readiness.	That is physical readiness.	Strategy may matter, but technical readiness focuses on job details and standards.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review NCO Readiness on pages 11. Focus on the exact definition and how it differs from nearby concepts.	Technical = know the job.	high	toolkit_diagram	optional_after_answer	c4_k007_21	A toolkit labeled Mission, Tasks, Standards, Regulation.	Technical readiness is knowing how the job must be done.	A toolkit containing the mission, tasks, standards, and regulations.	Learn to Lead, Volume 2, Chapter 4, NCO Readiness	11	approved	draft	LTL2-C4-Q020|LTL2-C4-Q022|LTL2-C4-Q023	35	4	high	moderate	true	1.0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q022	NCO Readiness	C4-O6	C4-K007	C4-K007-022	medium	application	multiple_choice	mixed	application	Which cadet best demonstrates physical readiness?	A cadet who can quote every regulation but never exercises	A cadet who maintains fitness and can lead training by example	A cadet who avoids strenuous activity to conserve energy	A cadet who delegates all fitness instruction to younger members	B	Physical readiness means maintaining health and fitness so the leader helps rather than hinders the mission.	1	Physical readiness means maintaining health and fitness so the leader helps rather than hinders the mission.	Knowledge is technical readiness, not physical readiness.	Physical readiness means maintaining health and fitness so the leader helps rather than hinders the mission.	Avoiding necessary conditioning does not prepare the leader.	NCOs traditionally model and lead fitness readiness.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review NCO Readiness on pages 11. Focus on the exact definition and how it differs from nearby concepts.	Fit enough to help, not hinder.	high	fitness_leadership	optional_after_answer	c4_k007_22	An NCO participating in and leading fitness training.	Physical readiness allows the leader to support the mission by example.	A cadet NCO exercising alongside and leading the unit.	Learn to Lead, Volume 2, Chapter 4, NCO Readiness	11	approved	draft	LTL2-C4-Q020|LTL2-C4-Q021|LTL2-C4-Q023	35	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
LTL2-C4-Q023	NCO Readiness	C4-O6	C4-K007	C4-K007-023	hard	scenario	multiple_choice	mixed	scenario	A cadet knows the job and passes fitness standards but is overwhelmed, distracted, and unable to focus on duties. Which readiness area is weakest?	Technical readiness	Physical readiness	Mental readiness	Operational readiness	C	Mental readiness requires focus, stress management, healthy attitudes, and seeking help when needed.	1	Mental readiness requires focus, stress management, healthy attitudes, and seeking help when needed.	The cadet already knows the job.	The cadet meets fitness standards.	Mental readiness requires focus, stress management, healthy attitudes, and seeking help when needed.	Operational is a leadership arena, not one of the three readiness categories.	Choosing a related leadership idea that sounds reasonable but does not precisely answer the question.	Review NCO Readiness on pages 11. Focus on the exact definition and how it differs from nearby concepts.	Ready body and skills still need a ready mind.	high	three_leg_stool	optional_after_answer	c4_k007_23	A three-legged stool with the Mental leg cracked while Technical and Physical remain intact.	All three forms of readiness are necessary.	A readiness stool showing technical and physical strength but weak mental readiness.	Learn to Lead, Volume 2, Chapter 4, NCO Readiness	11	approved	draft	LTL2-C4-Q020|LTL2-C4-Q021|LTL2-C4-Q022	45	4	low	basic	false	0	existing_original_bank	pre_sample_bank_review
