external_id	pilot_batch	objective_code	concept_code	question_family_code	difficulty	cognitive_level	question_type	question_mode	question_style	question_text	choice_a	choice_b	choice_c	choice_d	correct_letter	short_explanation	feedback_display_version	explanation	choice_a_explanation	choice_b_explanation	choice_c_explanation	choice_d_explanation	common_mistake	remediation_text	memory_aid	visual_priority	visual_type	visual_display_mode	visual_asset_key	visual_brief	visual_caption	visual_alt_text	source_reference_text	source_pages	source_status	review_status	reinforcement_question_ids	estimated_time_seconds
LTL2-C5-PB-Q005	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K015	LTL2-C5-F015	medium	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on examining complexities beneath the surface?	Accuracy	Precision	Depth	Clarity	C	Depth means examining complexities beneath the surface.	1	The standard of depth calls thinkers to focus on examining complexities beneath the surface.	Accuracy concerns checking whether a claim is true, not examining complexities beneath the surface.	Precision concerns giving exact detail, not examining complexities beneath the surface.	The standard of depth calls thinkers to focus on examining complexities beneath the surface.	Clarity concerns making an idea understandable, not examining complexities beneath the surface.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Depth: examining complexities beneath the surface.	medium	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q005	Create a simple instructional visual for this idea: Depth means examining complexities beneath the surface.	Depth: examining complexities beneath the surface.	Instructional visual representing: Depth means examining complexities beneath the surface.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q006	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K016	LTL2-C5-F016	medium	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on considering other sides and wider perspectives?	Precision	Breadth	Clarity	Accuracy	B	Breadth means considering other sides and wider perspectives.	1	The standard of breadth calls thinkers to focus on considering other sides and wider perspectives.	Precision concerns giving exact detail, not considering other sides and wider perspectives.	The standard of breadth calls thinkers to focus on considering other sides and wider perspectives.	Clarity concerns making an idea understandable, not considering other sides and wider perspectives.	Accuracy concerns checking whether a claim is true, not considering other sides and wider perspectives.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Breadth: considering other sides and wider perspectives.	medium	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q006	Create a simple instructional visual for this idea: Breadth means considering other sides and wider perspectives.	Breadth: considering other sides and wider perspectives.	Instructional visual representing: Breadth means considering other sides and wider perspectives.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q007	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K017	LTL2-C5-F017	medium	recognition	multiple_choice	study_and_test	cap_direct	Which universal intellectual standard focuses on ensuring the parts support one another?	Logic	Clarity	Accuracy	Precision	A	Logic means ensuring the parts support one another.	1	The standard of logic calls thinkers to focus on ensuring the parts support one another.	The standard of logic calls thinkers to focus on ensuring the parts support one another.	Clarity concerns making an idea understandable, not ensuring the parts support one another.	Accuracy concerns checking whether a claim is true, not ensuring the parts support one another.	Precision concerns giving exact detail, not ensuring the parts support one another.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Logic: ensuring the parts support one another.	high	seven_part_icon_card	optional_after_answer	ltl2_c5_ltl2_c5_pb_q007	Create a simple instructional visual for this idea: Logic means ensuring the parts support one another.	Logic: ensuring the parts support one another.	Instructional visual representing: Logic means ensuring the parts support one another.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41-42	approved_source	draft		45
LTL2-C5-PB-Q008	Chapter 5 B	LTL2-C5-O03	LTL2-C5-K018	LTL2-C5-F018	hard	application	multiple_choice	study_and_test	scenario	A cadet gives a detailed, accurate history of encampment meals while answering, 'What is the purpose of the Cadet Program?' Which standard is most lacking?	Depth	Breadth	Relevance	Precision	C	The information is not relevant to the question being answered.	1	Even true and detailed information fails critical thinking when it does not advance the issue at hand.	The answer may contain depth about meals, but that is not the central problem.	The answer is narrow, but the clearest failure is that meals do not answer the purpose question.	Even true and detailed information fails critical thinking when it does not advance the issue at hand.	The details may be precise; precision does not make them relevant.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Relevant means it moves the answer forward.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pb_q008	Create a simple instructional visual for this idea: The information is not relevant to the question being answered.	Relevant means it moves the answer forward.	Instructional visual representing: The information is not relevant to the question being answered.	Learn to Lead, Volume 2, Chapter 5, Objective 3	41	approved_source	draft		45
LTL2-C5-PB-Q009	Chapter 5 B	LTL2-C5-O04	LTL2-C5-K019	LTL2-C5-F019	medium	understanding	multiple_choice	study_and_test	cap_direct	Which is one of the eight elements present in reasoning?	Seniority	Assumptions	Popularity	Tradition	B	Reasoning includes assumptions that may need to be examined.	1	The eight elements include purpose, questions, assumptions, point of view, information, concepts, inferences, and implications.	Seniority may affect a group but is not an element of thought.	The eight elements include purpose, questions, assumptions, point of view, information, concepts, inferences, and implications.	Popularity is not one of the eight structures of reasoning.	Tradition can influence assumptions but is not itself listed as an element.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Purpose, Question, Assumption, View, Data, Concept, Inference, Consequence.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pb_q009	Create a simple instructional visual for this idea: Reasoning includes assumptions that may need to be examined.	Purpose, Question, Assumption, View, Data, Concept, Inference, Consequence.	Instructional visual representing: Reasoning includes assumptions that may need to be examined.	Learn to Lead, Volume 2, Chapter 5, Objective 4	42	approved_source	draft		45
LTL2-C5-PB-Q010	Chapter 5 B	LTL2-C5-O04	LTL2-C5-K020	LTL2-C5-F020	hard	analysis	multiple_choice	study_and_test	scenario	A leader asks, 'What might happen if we adopt this policy, including unintended results?' Which element of thought is being examined?	Point of view	Information	Implications and consequences	Concepts	C	The leader is examining implications and consequences.	1	Reasoning leads somewhere; critical thinkers ask what their conclusions will mean and what results may follow.	Point of view concerns the perspective from which the issue is seen.	Information concerns the evidence supporting the reasoning.	Reasoning leads somewhere; critical thinkers ask what their conclusions will mean and what results may follow.	Concepts are the ideas and definitions used in reasoning.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Implications ask: Then what?	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pb_q010	Create a simple instructional visual for this idea: The leader is examining implications and consequences.	Implications ask: Then what?	Instructional visual representing: The leader is examining implications and consequences.	Learn to Lead, Volume 2, Chapter 5, Objective 4	42	approved_source	draft		45
LTL2-C5-PC-Q001	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K021	LTL2-C5-F021	easy	recall	multiple_choice	study_and_test	cap_direct	Big-picture thinking is the practice of	studying one detail without distraction	stepping back to take in more of the situation	imagining only ideal outcomes	asking several people to vote	B	Big-picture thinking steps back to see the whole.	1	It helps leaders understand breadth, connections, mission context, and how separate efforts fit together.	This describes focused thinking.	It helps leaders understand breadth, connections, mission context, and how separate efforts fit together.	This is not realistic thinking and ignores actual conditions.	Voting is a decision method, not the definition.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Step back; see the whole map.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q001	Create a simple instructional visual for this idea: Big-picture thinking steps back to see the whole.	Step back; see the whole map.	Instructional visual representing: Big-picture thinking steps back to see the whole.	Learn to Lead, Volume 2, Chapter 5, Objective 5	43	approved_source	draft	LTL2-C5-PC-Q005	45
LTL2-C5-PC-Q002	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K022	LTL2-C5-F022	easy	recall	multiple_choice	study_and_test	cap_direct	Focused thinking emphasizes	sustained concentration on the specific issue	combining many unrelated perspectives	planning for the worst case	accepting the majority's answer	A	Focused thinking concentrates deeply on one issue.	1	It avoids distraction by related but different matters and directs brainpower toward the highest-priority problems.	It avoids distraction by related but different matters and directs brainpower toward the highest-priority problems.	Shared thinking values other perspectives but does not define focus.	Worst-case preparation is associated with realistic thinking.	Majority acceptance is not a mode of critical thinking.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Focus = one target, full attention.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q002	Create a simple instructional visual for this idea: Focused thinking concentrates deeply on one issue.	Focus = one target, full attention.	Instructional visual representing: Focused thinking concentrates deeply on one issue.	Learn to Lead, Volume 2, Chapter 5, Objective 5	44	approved_source	draft	LTL2-C5-PC-Q006	45
LTL2-C5-PC-Q003	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K023	LTL2-C5-F023	easy	recall	multiple_choice	study_and_test	cap_direct	Realistic thinking requires a leader to	see the world as it is and account for limited resources	reject ambitious goals	use only past solutions	focus only on immediate problems	A	Realistic thinking faces actual facts and constraints.	1	It values accuracy, common sense, feasibility, and achieving results with the resources available.	It values accuracy, common sense, feasibility, and achieving results with the resources available.	Realism does not prohibit ambitious goals.	Past solutions can help, but realism is not appeal to tradition.	Realism can consider both present and future conditions.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Realistic: facts, limits, feasible action.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q003	Create a simple instructional visual for this idea: Realistic thinking faces actual facts and constraints.	Realistic: facts, limits, feasible action.	Instructional visual representing: Realistic thinking faces actual facts and constraints.	Learn to Lead, Volume 2, Chapter 5, Objective 5	44-45	approved_source	draft	LTL2-C5-PC-Q007	45
LTL2-C5-PC-Q004	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K024	LTL2-C5-F024	easy	recall	multiple_choice	study_and_test	cap_direct	Shared thinking is based on the belief that	the highest-ranking person has the best ideas	a team can be smarter than one person working alone	all decisions should be made by committee	leaders should avoid forming their own opinions	B	Shared thinking values the ideas of others and team synergy.	1	It recognizes that combining perspectives can produce faster and stronger understanding.	Rank does not guarantee the best idea.	It recognizes that combining perspectives can produce faster and stronger understanding.	Shared thinking does not require every decision to be made by committee.	Leaders still need independent judgment.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Borrow brains without surrendering judgment.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q004	Create a simple instructional visual for this idea: Shared thinking values the ideas of others and team synergy.	Borrow brains without surrendering judgment.	Instructional visual representing: Shared thinking values the ideas of others and team synergy.	Learn to Lead, Volume 2, Chapter 5, Objective 5	45	approved_source	draft	LTL2-C5-PC-Q008	45
LTL2-C5-PC-Q005	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K021	LTL2-C5-F021	medium	application	multiple_choice	study_and_test	scenario	A commander connects recruiting, training quality, retention, and community reputation before changing the squadron schedule. Which mode is most evident?	Focused thinking	Big-picture thinking	Realistic thinking	Creative thinking	B	The commander is seeing connections across the whole system.	1	Big-picture thinking examines the broad situation and how different parts support the mission.	Focused thinking narrows attention to one specific issue.	Big-picture thinking examines the broad situation and how different parts support the mission.	Realistic thinking emphasizes facts and feasibility; the stem emphasizes interconnected breadth.	Creative thinking seeks novel connections, but the strongest feature here is whole-system perspective.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Big picture connects the pieces.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q005	Create a simple instructional visual for this idea: The commander is seeing connections across the whole system.	Big picture connects the pieces.	Instructional visual representing: The commander is seeing connections across the whole system.	Learn to Lead, Volume 2, Chapter 5, Objective 5	43	approved_source	draft	LTL2-C5-PC-Q001	45
LTL2-C5-PC-Q006	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K022	LTL2-C5-F022	medium	application	multiple_choice	study_and_test	scenario	A cadet turns off notifications and devotes most study time to the two weakest exam topics. Which principle is being applied?	The 80/20 rule within focused thinking	Breadth within big-picture thinking	Synergy within shared thinking	Status quo within realistic thinking	A	The cadet is concentrating effort on the highest-impact issues.	1	The chapter's 80/20 rule recommends devoting most time and energy to the most important challenges.	The chapter's 80/20 rule recommends devoting most time and energy to the most important challenges.	Breadth expands perspectives rather than concentrating effort.	Synergy involves combined team effort.	Status quo is the existing state of affairs, not a realistic-thinking tool.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Most effort on the few biggest needs.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q006	Create a simple instructional visual for this idea: The cadet is concentrating effort on the highest-impact issues.	Most effort on the few biggest needs.	Instructional visual representing: The cadet is concentrating effort on the highest-impact issues.	Learn to Lead, Volume 2, Chapter 5, Objective 5	44	approved_source	draft	LTL2-C5-PC-Q002	45
LTL2-C5-PC-Q007	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K023	LTL2-C5-F023	hard	application	multiple_choice	study_and_test	close_distractors	A leader gathers accurate cost figures, identifies limited manpower, and prepares for the worst-case outcome. Which mode is primary?	Big-picture thinking	Focused thinking	Realistic thinking	Shared thinking	C	The leader is preparing from facts, constraints, and feasibility.	1	Getting the facts, accepting scarce resources, and preparing for worst cases are hallmarks of realistic thinking.	The leader may see several factors, but the defining feature is facing actual constraints.	The leader is concentrating, but the stem emphasizes feasibility rather than sustained focus.	Getting the facts, accepting scarce resources, and preparing for worst cases are hallmarks of realistic thinking.	No use of other people's ideas is described.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Reality first: facts, scarcity, contingency.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q007	Create a simple instructional visual for this idea: The leader is preparing from facts, constraints, and feasibility.	Reality first: facts, scarcity, contingency.	Instructional visual representing: The leader is preparing from facts, constraints, and feasibility.	Learn to Lead, Volume 2, Chapter 5, Objective 5	44-45	approved_source	draft	LTL2-C5-PC-Q003	45
LTL2-C5-PC-Q008	Chapter 5 C	LTL2-C5-O05	LTL2-C5-K024	LTL2-C5-F024	hard	misconception	multiple_choice	study_and_test	cap_direct	What is the greatest obstacle to shared thinking identified in the chapter?	Lack of technical expertise	Emotional insecurity	Too much precision	Limited meeting time	B	Emotional insecurity can make people reject others' ideas.	1	People worried about status or power may protect their turf instead of accepting useful contributions.	Expertise can help, but it is not identified as the greatest obstacle.	People worried about status or power may protect their turf instead of accepting useful contributions.	Precision improves thinking rather than blocking collaboration.	Time can be a practical problem but is not the chapter's main obstacle.	Choosing a related term without checking the exact definition or purpose asked in the stem.	Compare the exact textbook definition with each option. Eliminate choices that describe a neighboring concept rather than the one asked.	Secure leaders can share credit and ideas.	medium	concept_diagram	optional_after_answer	ltl2_c5_ltl2_c5_pc_q008	Create a simple instructional visual for this idea: Emotional insecurity can make people reject others' ideas.	Secure leaders can share credit and ideas.	Instructional visual representing: Emotional insecurity can make people reject others' ideas.	Learn to Lead, Volume 2, Chapter 5, Objective 5	45	approved_source	draft	LTL2-C5-PC-Q004	45
